Aging,Temperature,SOC,Frequency,Z_real,Z_imag
0,20.0,3,0.12650184,5.8184778,0.45765493999999995
0,20.0,4,10002.229,2.2758868999999997,-1.1247824999999998
0,20.0,4,7904.959,2.3597346,-0.7043756800000001
0,20.0,4,6248.7827,2.3599535,-0.55750238
0,20.0,4,4941.5811,2.3793813,-0.34828307000000003
0,20.0,4,3906.2498,2.3980810999999997,-0.19992293
0,20.0,4,3087.0369,2.4454817,-0.079664838
0,20.0,4,2440.7808,2.4884044999999997,0.036280126
0,20.0,4,1930.6177,2.5400885,0.12227011999999998
0,20.0,4,1525.4882,2.5929781000000003,0.19819257
0,20.0,4,1206.9312,2.6489599,0.26671491999999997
0,20.0,4,954.08411,2.7071362999999997,0.33059160000000004
0,20.0,4,754.27557,2.7766773000000002,0.38722521000000004
0,20.0,4,596.71857,2.8444871000000003,0.43788663
0,20.0,4,471.35751,2.9146222,0.49595913
0,20.0,4,372.7338,3.0011176,0.5504679899999999
0,20.0,4,294.71707,3.0891859999999998,0.5985169
0,20.0,4,232.98701,3.1844378,0.65076456
0,20.0,4,184.11626,3.3011227,0.69999287
0,20.0,4,145.60574,3.4131221,0.7496818399999999
0,20.0,4,115.18433,3.5392153,0.7856657
0,20.0,4,91.078392,3.6688361,0.81895327
0,20.0,4,71.957245,3.8060339,0.85454551
0,20.0,4,56.912251,3.9425259000000006,0.87680167
0,20.0,4,44.956841,4.0792678,0.89160632
0,20.0,4,35.557541,4.2140977,0.90656546
0,20.0,4,28.102516,4.346053100000001,0.91262336
0,20.0,4,22.226173,4.4609518,0.93508966
0,20.0,4,17.556183,4.5766523,0.95942785
0,20.0,4,13.884776,4.6900967,1.0095579
0,20.0,4,10.988047,4.8151808,1.0726125000000002
0,20.0,4,8.6805573,4.9593393,1.1564125
0,20.0,4,6.8651142,5.1204776,1.2584339999999998
0,20.0,4,5.4253473,5.3104325,1.380353
0,20.0,4,4.292582,5.5819899,1.4959339999999999
0,20.0,4,3.3908424,5.8194892,1.5788171
0,20.0,4,2.6847081,6.159165399999999,1.6508475
0,20.0,4,2.1229622,6.4510135,1.6885832
0,20.0,4,1.6765022,6.7719067,1.6356597000000002
0,20.0,4,1.3259507,7.079774,1.5851506
0,20.0,4,1.047814,7.3207505,1.5078072
0,20.0,4,0.82777089,7.535376100000001,1.4042474
0,20.0,4,0.65497148,7.7302735,1.3198494
0,20.0,4,0.5175212,7.904684199999999,1.2631223
0,20.0,4,0.40911707,8.0335103,1.2477242
0,20.0,4,0.3236866,8.1329318,1.2415876
0,20.0,4,0.25591263,8.235891299999999,1.2484796
0,20.0,4,0.20234396,8.3503192,1.289778
0,20.0,4,0.16011845,8.4689409,1.3718606
0,20.0,4,0.12650184,8.5890135,1.4780685
0,22.5,0,10002.229,2.9556693,-0.9585052599999999
0,22.5,0,7904.959,2.8600068999999997,-0.6696198800000001
0,22.5,0,6248.7827,2.8833188,-0.43057965
0,22.5,0,4941.5811,2.8829521,-0.21482246
0,22.5,0,3906.2498,2.9532891,-0.071648297
0,22.5,0,3087.0369,3.0201641,0.056272245000000005
